[18:00:37] [INFO] received Windows console close event; shutting log-core down
[18:01:44] [INFO] received Windows console close event; shutting log-core down
[18:02:48] [INFO] received Windows console close event; shutting log-core down
[18:06:18] [INFO] received Windows console close event; shutting log-core down
[18:06:18] [INFO] received Windows console close event; shutting log-core down
[18:06:18] [INFO] received Windows console close event; shutting log-core down
[18:07:01] [INFO] received Windows console close event; shutting log-core down
[18:09:25] [INFO] received Windows console close event; shutting log-core down
[18:13:43] [INFO] received Windows console close event; shutting log-core down
[18:14:03] [INFO] received Windows console close event; shutting log-core down
[18:14:49] [INFO] received Windows console close event; shutting log-core down
[18:16:09] [INFO] received Windows console close event; shutting log-core down
[19:22:02] [INFO] received Windows console close event; shutting log-core down
[19:24:57] [INFO] received Windows console close event; shutting log-core down
[19:27:40] [INFO] received Windows console close event; shutting log-core down
[19:29:29] [INFO] received Windows console close event; shutting log-core down
[21:53:31] [INFO] received Windows console close event; shutting log-core down
[21:54:20] [INFO] received Windows console close event; shutting log-core down
[22:45:55] [INFO] received Windows console close event; shutting log-core down
[10:40:51] [INFO] received Windows console close event; shutting log-core down
[10:42:37] [INFO] received Windows console close event; shutting log-core down
[10:44:16] [INFO] received Windows console close event; shutting log-core down
[10:53:39] [INFO] received Windows console close event; shutting log-core down
[10:58:15] [INFO] received Windows console close event; shutting log-core down
[10:58:15] [INFO] received Windows console close event; shutting log-core down
[10:59:21] [INFO] received Windows console close event; shutting log-core down
[11:03:41] [INFO] received Windows console close event; shutting log-core down
[11:09:47] [INFO] received Windows console close event; shutting log-core down
[11:18:06] [INFO] received Windows console close event; shutting log-core down
[11:21:15] [INFO] received Windows console close event; shutting log-core down
[11:32:26] [INFO] received Windows console close event; shutting log-core down
[11:35:42] [INFO] received Windows console close event; shutting log-core down
[22:09:29] [INFO] received Windows console close event; shutting log-core down
[22:09:49] [INFO] received Windows console close event; shutting log-core down
[22:53:35] [INFO] received Windows console close event; shutting log-core down
[23:00:13] [INFO] received Windows console close event; shutting log-core down
[23:00:13] [INFO] received Windows console close event; shutting log-core down
[23:04:31] [INFO] received Windows console close event; shutting log-core down
[23:07:12] [INFO] received Windows console close event; shutting log-core down
[23:29:10] [INFO] received Windows console close event; shutting log-core down
[23:43:54] [INFO] received Windows console close event; shutting log-core down
[23:48:56] [INFO] received Windows console close event; shutting log-core down
[23:49:13] [INFO] received Windows console close event; shutting log-core down
[23:56:12] [INFO] received Windows console close event; shutting log-core down
[23:59:05] [INFO] received Windows console close event; shutting log-core down
[00:38:50] [INFO] received Windows console close event; shutting log-core down
[00:41:38] [INFO] received Windows console close event; shutting log-core down
[01:13:12] [INFO] received Windows console close event; shutting log-core down
[01:17:40] [INFO] received Windows console close event; shutting log-core down
[01:17:40] [INFO] received Windows console close event; shutting log-core down
[01:21:48] [INFO] received Windows console close event; shutting log-core down
[01:29:05] [INFO] received Windows console close event; shutting log-core down
[01:31:09] [INFO] received Windows console close event; shutting log-core down
[01:37:24] [INFO] received Windows console close event; shutting log-core down
[01:39:30] [INFO] received Windows console close event; shutting log-core down
[01:42:05] [INFO] received Windows console close event; shutting log-core down
[07:53:38] [INFO] received Windows console close event; shutting log-core down
[07:56:33] [INFO] received Windows console close event; shutting log-core down
[08:03:43] [INFO] received Windows console close event; shutting log-core down
[08:05:35] [INFO] received Windows console close event; shutting log-core down
[08:06:55] [INFO] received Windows console close event; shutting log-core down
[08:09:21] [INFO] received Windows console close event; shutting log-core down
[08:11:10] [INFO] received Windows console close event; shutting log-core down
[08:25:29] [INFO] received Windows console close event; shutting log-core down
[08:35:30] [INFO] received Windows console close event; shutting log-core down
[08:51:32] [INFO] received Windows console close event; shutting log-core down
[09:36:32] [INFO] received Windows console close event; shutting log-core down
[10:30:36] [INFO] received Windows console close event; shutting log-core down
[10:33:28] [INFO] received Windows console close event; shutting log-core down
[12:47:03] [INFO] received Windows console close event; shutting log-core down
[12:53:58] [INFO] received Windows console close event; shutting log-core down
[12:57:25] [INFO] received Windows console close event; shutting log-core down
[12:57:38] [INFO] received Windows console close event; shutting log-core down
[13:03:14] [INFO] received Windows console close event; shutting log-core down
[13:17:26] [INFO] received Windows console close event; shutting log-core down
[13:24:30] [INFO] received Windows console close event; shutting log-core down
[13:28:16] [INFO] received Windows console close event; shutting log-core down
[13:34:23] [INFO] received Windows console close event; shutting log-core down
[13:34:33] [INFO] received Windows console close event; shutting log-core down
[13:37:41] [INFO] received Windows console close event; shutting log-core down
[15:22:15] [INFO] received Windows console close event; shutting log-core down
[15:26:42] [INFO] received Windows console close event; shutting log-core down
[15:34:09] [INFO] received Windows console close event; shutting log-core down
[15:37:09] [INFO] received Windows console close event; shutting log-core down
[15:51:38] [INFO] received Windows console close event; shutting log-core down
[15:54:25] [INFO] received Windows console close event; shutting log-core down
[15:56:13] [INFO] received Windows console close event; shutting log-core down
[16:07:29] [INFO] received Windows console close event; shutting log-core down
[16:07:29] [INFO] received Windows console close event; shutting log-core down
[16:32:27] [INFO] received Windows console close event; shutting log-core down
[16:37:00] [INFO] received Windows console close event; shutting log-core down
[16:45:21] [INFO] received Windows console close event; shutting log-core down
[16:46:49] [INFO] received Windows console close event; shutting log-core down
[16:52:04] [INFO] received Windows console close event; shutting log-core down
[16:56:54] [INFO] received Windows console close event; shutting log-core down
[18:03:58] [INFO] received Windows console close event; shutting log-core down
[18:05:39] [INFO] received Windows console close event; shutting log-core down
